"Trtmt","Sp","Rep","ID","Plate","Tray","Row","Col","Date.Sowed","H","Ex","C","DateEmerg","D2Emerg","Survival","HarvestD","No.Lvs","WetWt","A_WetWt","B_WetWt","PhotoIDNo.","PhotoIDLet","PhotoIDAdd","PhotoID"
"100","Lettuce","1","20","5","4","3","3",2016-11-18,"0","1","0",2016-11-21,3,"1","05-Dec-16",2,174.21,169.74,3.27,7,"A",NA,"9368"
"100","Lettuce","1","4","4","4","3","4",2016-11-18,"0","1","0",2016-11-21,3,"1","05-Dec-16",3,272.53,265.62,5.46,7,"B",NA,"9368"
"50","Lettuce","1","20","2","4","4","3",2016-11-18,"1","1","0",2016-11-20,2,"1","05-Dec-16",3,248.54,241.79,5.63,7,"C",NA,"9368"
"25","Basil","1","8","2","4","4","4",2016-11-18,"0","1","0",2016-11-23,5,"1","05-Dec-16",0,49.45,46.28,2.72,7,"D",NA,"9368"
"0","Lettuce","1","3","2","4","5","4",2016-11-18,"2","2","1",2016-11-20,2,"1","05-Dec-16",3,293.15,281.75,10.46,8,"A",NA,"9369"
"25","Basil","1","10","1","4","6","3",2016-11-18,"0","1","0",2016-11-21,3,"1","05-Dec-16",2,85.1,79.3,5.22,8,"B",NA,"9369"
"50","Basil","1","16","4","4","7","3",2016-11-21,"0","1","0",2016-11-24,3,"1","05-Dec-16",0,38.08,33.73,3.87,9,"A",NA,"9370"
"25","Lettuce","1","5","2","4","7","4",2016-11-18,"1","2","1",2016-11-20,2,"1","05-Dec-16",3,194.21,188.08,4.93,9,"B",NA,"9370"
"25","Basil","1","20","4","4","8","3",2016-11-18,"1","2","0",2016-11-21,3,"1","05-Dec-16",0,55.1,50.76,3.27,9,"C",NA,"9370"
"25","Lettuce","1","14","5","4","8","4",2016-11-18,"1","2","1",2016-11-20,2,"1","05-Dec-16",3,266.34,257.18,7.71,9,"D",NA,"9370"
"25","Lettuce","1","16","5","4","9","3",2016-11-18,"1","2","1",2016-11-19,1,"1","05-Dec-16",3,214.37,207.76,5.71,10,"A",NA,"9371"
"100","Lettuce","1","11","1","4","10","3",2016-11-18,"0","1","1",2016-11-21,3,"1","05-Dec-16",2,138.01,134.67,2.62,10,"B",NA,"9371"
"25","Lettuce","1","20","4","4","10","4",2016-11-18,"1","2","1",2016-11-20,2,"1","05-Dec-16",2,145.26,141.09,3.32,10,"C",NA,"9371"
"100","Basil","1","10","4","1","5","1",2016-11-21,"0","1","0",2016-11-28,7,"1","",NA,NA,NA,NA,NA,"",NA,""
"50","Basil","1","1","2","1","1","3",2016-11-18,"0","1","0",NA,NA,"0","",NA,NA,NA,NA,NA,"",NA,""
"100","Basil","1","18",NA,"1","6","1",NA,NA,NA,NA,NA,NA,"0","",NA,NA,NA,NA,NA,"",NA,""
"100","Basil","1","5",NA,"1","8","1",NA,NA,NA,NA,NA,NA,"0","",NA,NA,NA,NA,NA,"",NA,""
"50","Basil","1","18","1","1","8","2",2016-11-21,"0","1","0",NA,NA,"0","",NA,NA,NA,NA,NA,"",NA,""
"100","Basil","1","8",NA,"1","9","2",NA,NA,NA,NA,NA,NA,"0","",NA,NA,NA,NA,NA,"",NA,""
"50","Basil","1","19","2","1","10","1",2016-11-21,"0","1","1",NA,NA,"0","",NA,NA,NA,NA,NA,"",NA,""
